Date, NOAA Combined Land and Ocean Globally averaged Temperature  missing value -999 https://psl.noaa.gov/data/timeseries/month/
1850-01-01,   -0.775
1850-02-01,   -0.551
1850-03-01,   -0.566
1850-04-01,   -0.679
1850-05-01,   -0.609
1850-06-01,   -0.399
1850-07-01,   -0.339
1850-08-01,   -0.292
1850-09-01,   -0.386
1850-10-01,   -0.600
1850-11-01,   -0.457
1850-12-01,   -0.359
1851-01-01,   -0.491
1851-02-01,   -0.410
1851-03-01,   -0.593
1851-04-01,   -0.669
1851-05-01,   -0.585
1851-06-01,   -0.456
1851-07-01,   -0.237
1851-08-01,   -0.198
1851-09-01,   -0.241
1851-10-01,   -0.133
1851-11-01,   -0.349
1851-12-01,   -0.380
1852-01-01,   -0.340
1852-02-01,   -0.576
1852-03-01,   -0.754
1852-04-01,   -0.649
1852-05-01,   -0.417
1852-06-01,   -0.204
1852-07-01,   -0.230
1852-08-01,   -0.168
1852-09-01,   -0.218
1852-10-01,   -0.196
1852-11-01,   -0.230
1852-12-01,   -0.302
1853-01-01,   -0.442
1853-02-01,   -0.589
1853-03-01,   -0.566
1853-04-01,   -0.599
1853-05-01,   -0.407
1853-06-01,   -0.309
1853-07-01,   -0.187
1853-08-01,   -0.271
1853-09-01,   -0.350
1853-10-01,   -0.378
1853-11-01,   -0.425
1853-12-01,   -0.417
1854-01-01,   -0.597
1854-02-01,   -0.527
1854-03-01,   -0.370
1854-04-01,   -0.452
1854-05-01,   -0.410
1854-06-01,   -0.382
1854-07-01,   -0.308
1854-08-01,   -0.352
1854-09-01,   -0.335
1854-10-01,   -0.206
1854-11-01,   -0.247
1854-12-01,   -0.279
1855-01-01,   -0.398
1855-02-01,   -0.418
1855-03-01,   -0.402
1855-04-01,   -0.403
1855-05-01,   -0.403
1855-06-01,   -0.381
1855-07-01,   -0.429
1855-08-01,   -0.392
1855-09-01,   -0.373
1855-10-01,   -0.256
1855-11-01,   -0.348
1855-12-01,   -0.432
1856-01-01,   -0.139
1856-02-01,   -0.364
1856-03-01,   -0.471
1856-04-01,   -0.530
1856-05-01,   -0.530
1856-06-01,   -0.340
1856-07-01,   -0.445
1856-08-01,   -0.559
1856-09-01,   -0.511
1856-10-01,   -0.666
1856-11-01,   -0.471
1856-12-01,   -0.434
1857-01-01,   -0.464
1857-02-01,   -0.682
1857-03-01,   -0.525
1857-04-01,   -0.608
1857-05-01,   -0.662
1857-06-01,   -0.503
1857-07-01,   -0.465
1857-08-01,   -0.463
1857-09-01,   -0.470
1857-10-01,   -0.460
1857-11-01,   -0.417
1857-12-01,   -0.294
1858-01-01,   -0.447
1858-02-01,   -0.567
1858-03-01,   -0.459
1858-04-01,   -0.502
1858-05-01,   -0.690
1858-06-01,   -0.490
1858-07-01,   -0.447
1858-08-01,   -0.439
1858-09-01,   -0.500
1858-10-01,   -0.390
1858-11-01,   -0.417
1858-12-01,   -0.521
1859-01-01,   -0.467
1859-02-01,   -0.400
1859-03-01,   -0.358
1859-04-01,   -0.358
1859-05-01,   -0.281
1859-06-01,   -0.349
1859-07-01,   -0.440
1859-08-01,   -0.313
1859-09-01,   -0.428
1859-10-01,   -0.390
1859-11-01,   -0.325
1859-12-01,   -0.187
1860-01-01,   -0.447
1860-02-01,   -0.527
1860-03-01,   -0.559
1860-04-01,   -0.527
1860-05-01,   -0.574
1860-06-01,   -0.457
1860-07-01,   -0.518
1860-08-01,   -0.460
1860-09-01,   -0.528
1860-10-01,   -0.533
1860-11-01,   -0.541
1860-12-01,   -0.774
1861-01-01,   -0.939
1861-02-01,   -0.857
1861-03-01,   -0.630
1861-04-01,   -0.642
1861-05-01,   -0.697
1861-06-01,   -0.560
1861-07-01,   -0.460
1861-08-01,   -0.433
1861-09-01,   -0.418
1861-10-01,   -0.538
1861-11-01,   -0.360
1861-12-01,   -0.555
1862-01-01,   -0.754
1862-02-01,   -0.821
1862-03-01,   -0.715
1862-04-01,   -0.742
1862-05-01,   -0.721
1862-06-01,   -0.534
1862-07-01,   -0.582
1862-08-01,   -0.577
1862-09-01,   -0.562
1862-10-01,   -0.618
1862-11-01,   -0.477
1862-12-01,   -0.771
1863-01-01,   -0.449
1863-02-01,   -0.592
1863-03-01,   -0.482
1863-04-01,   -0.478
1863-05-01,   -0.551
1863-06-01,   -0.496
1863-07-01,   -0.536
1863-08-01,   -0.503
1863-09-01,   -0.590
1863-10-01,   -0.537
1863-11-01,   -0.441
1863-12-01,   -0.517
1864-01-01,   -0.651
1864-02-01,   -0.591
1864-03-01,   -0.553
1864-04-01,   -0.524
1864-05-01,   -0.417
1864-06-01,   -0.347
1864-07-01,   -0.401
1864-08-01,   -0.510
1864-09-01,   -0.551
1864-10-01,   -0.545
1864-11-01,   -0.425
1864-12-01,   -0.588
1865-01-01,   -0.173
1865-02-01,   -0.564
1865-03-01,   -0.572
1865-04-01,   -0.589
1865-05-01,   -0.551
1865-06-01,   -0.358
1865-07-01,   -0.300
1865-08-01,   -0.266
1865-09-01,   -0.297
1865-10-01,   -0.322
1865-11-01,   -0.324
1865-12-01,   -0.372
1866-01-01,   -0.300
1866-02-01,   -0.322
1866-03-01,   -0.494
1866-04-01,   -0.504
1866-05-01,   -0.491
1866-06-01,   -0.437
1866-07-01,   -0.309
1866-08-01,   -0.477
1866-09-01,   -0.418
1866-10-01,   -0.444
1866-11-01,   -0.393
1866-12-01,   -0.326
1867-01-01,   -0.490
1867-02-01,   -0.649
1867-03-01,   -0.614
1867-04-01,   -0.737
1867-05-01,   -0.678
1867-06-01,   -0.455
1867-07-01,   -0.491
1867-08-01,   -0.340
1867-09-01,   -0.309
1867-10-01,   -0.372
1867-11-01,   -0.341
1867-12-01,   -0.519
1868-01-01,   -0.700
1868-02-01,   -0.592
1868-03-01,   -0.438
1868-04-01,   -0.536
1868-05-01,   -0.435
1868-06-01,   -0.351
1868-07-01,   -0.390
1868-08-01,   -0.315
1868-09-01,   -0.383
1868-10-01,   -0.317
1868-11-01,   -0.558
1868-12-01,   -0.379
1869-01-01,   -0.293
1869-02-01,   -0.233
1869-03-01,   -0.398
1869-04-01,   -0.503
1869-05-01,   -0.365
1869-06-01,   -0.371
1869-07-01,   -0.395
1869-08-01,   -0.456
1869-09-01,   -0.449
1869-10-01,   -0.460
1869-11-01,   -0.221
1869-12-01,   -0.377
1870-01-01,   -0.481
1870-02-01,   -0.629
1870-03-01,   -0.495
1870-04-01,   -0.538
1870-05-01,   -0.458
1870-06-01,   -0.364
1870-07-01,   -0.331
1870-08-01,   -0.320
1870-09-01,   -0.409
1870-10-01,   -0.537
1870-11-01,   -0.510
1870-12-01,   -0.673
1871-01-01,   -0.677
1871-02-01,   -0.669
1871-03-01,   -0.377
1871-04-01,   -0.340
1871-05-01,   -0.449
1871-06-01,   -0.317
1871-07-01,   -0.330
1871-08-01,   -0.385
1871-09-01,   -0.509
1871-10-01,   -0.542
1871-11-01,   -0.560
1871-12-01,   -0.515
1872-01-01,   -0.597
1872-02-01,   -0.620
1872-03-01,   -0.517
1872-04-01,   -0.639
1872-05-01,   -0.503
1872-06-01,   -0.439
1872-07-01,   -0.410
1872-08-01,   -0.316
1872-09-01,   -0.407
1872-10-01,   -0.476
1872-11-01,   -0.544
1872-12-01,   -0.628
1873-01-01,   -0.532
1873-02-01,   -0.567
1873-03-01,   -0.754
1873-04-01,   -0.758
1873-05-01,   -0.560
1873-06-01,   -0.419
1873-07-01,   -0.383
1873-08-01,   -0.346
1873-09-01,   -0.402
1873-10-01,   -0.387
1873-11-01,   -0.479
1873-12-01,   -0.527
1874-01-01,   -0.535
1874-02-01,   -0.554
1874-03-01,   -0.734
1874-04-01,   -0.624
1874-05-01,   -0.670
1874-06-01,   -0.485
1874-07-01,   -0.541
1874-08-01,   -0.506
1874-09-01,   -0.432
1874-10-01,   -0.445
1874-11-01,   -0.564
1874-12-01,   -0.412
1875-01-01,   -0.451
1875-02-01,   -0.559
1875-03-01,   -0.567
1875-04-01,   -0.518
1875-05-01,   -0.527
1875-06-01,   -0.419
1875-07-01,   -0.401
1875-08-01,   -0.461
1875-09-01,   -0.506
1875-10-01,   -0.481
1875-11-01,   -0.680
1875-12-01,   -0.785
1876-01-01,   -0.548
1876-02-01,   -0.759
1876-03-01,   -0.540
1876-04-01,   -0.628
1876-05-01,   -0.801
1876-06-01,   -0.442
1876-07-01,   -0.476
1876-08-01,   -0.475
1876-09-01,   -0.476
1876-10-01,   -0.368
1876-11-01,   -0.556
1876-12-01,   -0.569
1877-01-01,   -0.417
1877-02-01,   -0.410
1877-03-01,   -0.253
1877-04-01,   -0.359
1877-05-01,   -0.291
1877-06-01,   -0.214
1877-07-01,   -0.017
1877-08-01,   -0.152
1877-09-01,   -0.109
1877-10-01,   -0.003
1877-11-01,    0.063
1877-12-01,   -0.170
1878-01-01,   -0.179
1878-02-01,   -0.134
1878-03-01,    0.070
1878-04-01,   -0.175
1878-05-01,   -0.269
1878-06-01,   -0.079
1878-07-01,   -0.086
1878-08-01,   -0.206
1878-09-01,   -0.185
1878-10-01,   -0.323
1878-11-01,   -0.348
1878-12-01,   -0.344
1879-01-01,   -0.371
1879-02-01,   -0.481
1879-03-01,   -0.388
1879-04-01,   -0.471
1879-05-01,   -0.410
1879-06-01,   -0.388
1879-07-01,   -0.312
1879-08-01,   -0.458
1879-09-01,   -0.455
1879-10-01,   -0.458
1879-11-01,   -0.547
1879-12-01,   -0.641
1880-01-01,   -0.626
1880-02-01,   -0.734
1880-03-01,   -0.505
1880-04-01,   -0.422
1880-05-01,   -0.434
1880-06-01,   -0.435
1880-07-01,   -0.509
1880-08-01,   -0.334
1880-09-01,   -0.428
1880-10-01,   -0.496
1880-11-01,   -0.466
1880-12-01,   -0.437
1881-01-01,   -0.429
1881-02-01,   -0.478
1881-03-01,   -0.399
1881-04-01,   -0.293
1881-05-01,   -0.245
1881-06-01,   -0.470
1881-07-01,   -0.305
1881-08-01,   -0.383
1881-09-01,   -0.478
1881-10-01,   -0.527
1881-11-01,   -0.536
1881-12-01,   -0.322
1882-01-01,   -0.227
1882-02-01,   -0.432
1882-03-01,   -0.409
1882-04-01,   -0.527
1882-05-01,   -0.415
1882-06-01,   -0.553
1882-07-01,   -0.518
1882-08-01,   -0.409
1882-09-01,   -0.449
1882-10-01,   -0.559
1882-11-01,   -0.524
1882-12-01,   -0.587
1883-01-01,   -0.503
1883-02-01,   -0.673
1883-03-01,   -0.458
1883-04-01,   -0.531
1883-05-01,   -0.465
1883-06-01,   -0.268
1883-07-01,   -0.388
1883-08-01,   -0.534
1883-09-01,   -0.559
1883-10-01,   -0.532
1883-11-01,   -0.524
1883-12-01,   -0.551
1884-01-01,   -0.537
1884-02-01,   -0.486
1884-03-01,   -0.764
1884-04-01,   -0.722
1884-05-01,   -0.626
1884-06-01,   -0.577
1884-07-01,   -0.633
1884-08-01,   -0.599
1884-09-01,   -0.629
1884-10-01,   -0.639
1884-11-01,   -0.646
1884-12-01,   -0.411
1885-01-01,   -0.723
1885-02-01,   -0.620
1885-03-01,   -0.716
1885-04-01,   -0.749
1885-05-01,   -0.598
1885-06-01,   -0.683
1885-07-01,   -0.566
1885-08-01,   -0.486
1885-09-01,   -0.567
1885-10-01,   -0.516
1885-11-01,   -0.537
1885-12-01,   -0.385
1886-01-01,   -0.619
1886-02-01,   -0.705
1886-03-01,   -0.805
1886-04-01,   -0.579
1886-05-01,   -0.567
1886-06-01,   -0.591
1886-07-01,   -0.489
1886-08-01,   -0.520
1886-09-01,   -0.549
1886-10-01,   -0.569
1886-11-01,   -0.577
1886-12-01,   -0.520
1887-01-01,   -0.956
1887-02-01,   -0.791
1887-03-01,   -0.706
1887-04-01,   -0.655
1887-05-01,   -0.647
1887-06-01,   -0.563
1887-07-01,   -0.569
1887-08-01,   -0.557
1887-09-01,   -0.472
1887-10-01,   -0.637
1887-11-01,   -0.538
1887-12-01,   -0.668
1888-01-01,   -0.465
1888-02-01,   -0.624
1888-03-01,   -0.642
1888-04-01,   -0.588
1888-05-01,   -0.480
1888-06-01,   -0.396
1888-07-01,   -0.312
1888-08-01,   -0.382
1888-09-01,   -0.442
1888-10-01,   -0.146
1888-11-01,   -0.188
1888-12-01,   -0.276
1889-01-01,   -0.256
1889-02-01,   -0.112
1889-03-01,   -0.263
1889-04-01,   -0.261
1889-05-01,   -0.227
1889-06-01,   -0.338
1889-07-01,   -0.377
1889-08-01,   -0.392
1889-09-01,   -0.422
1889-10-01,   -0.448
1889-11-01,   -0.574
1889-12-01,   -0.573
1890-01-01,   -0.654
1890-02-01,   -0.699
1890-03-01,   -0.709
1890-04-01,   -0.714
1890-05-01,   -0.611
1890-06-01,   -0.575
1890-07-01,   -0.561
1890-08-01,   -0.620
1890-09-01,   -0.689
1890-10-01,   -0.515
1890-11-01,   -0.705
1890-12-01,   -0.651
1891-01-01,   -0.605
1891-02-01,   -0.863
1891-03-01,   -0.559
1891-04-01,   -0.550
1891-05-01,   -0.449
1891-06-01,   -0.414
1891-07-01,   -0.421
1891-08-01,   -0.468
1891-09-01,   -0.483
1891-10-01,   -0.461
1891-11-01,   -0.634
1891-12-01,   -0.464
1892-01-01,   -0.508
1892-02-01,   -0.439
1892-03-01,   -0.588
1892-04-01,   -0.590
1892-05-01,   -0.629
1892-06-01,   -0.531
1892-07-01,   -0.627
1892-08-01,   -0.572
1892-09-01,   -0.491
1892-10-01,   -0.552
1892-11-01,   -0.648
1892-12-01,   -0.633
1893-01-01,   -0.863
1893-02-01,   -0.814
1893-03-01,   -0.731
1893-04-01,   -0.656
1893-05-01,   -0.638
1893-06-01,   -0.490
1893-07-01,   -0.511
1893-08-01,   -0.532
1893-09-01,   -0.575
1893-10-01,   -0.536
1893-11-01,   -0.588
1893-12-01,   -0.724
1894-01-01,   -0.852
1894-02-01,   -0.793
1894-03-01,   -0.678
1894-04-01,   -0.740
1894-05-01,   -0.563
1894-06-01,   -0.731
1894-07-01,   -0.517
1894-08-01,   -0.466
1894-09-01,   -0.600
1894-10-01,   -0.578
1894-11-01,   -0.540
1894-12-01,   -0.550
1895-01-01,   -0.649
1895-02-01,   -0.686
1895-03-01,   -0.609
1895-04-01,   -0.533
1895-05-01,   -0.598
1895-06-01,   -0.498
1895-07-01,   -0.401
1895-08-01,   -0.409
1895-09-01,   -0.475
1895-10-01,   -0.446
1895-11-01,   -0.434
1895-12-01,   -0.517
1896-01-01,   -0.489
1896-02-01,   -0.496
1896-03-01,   -0.522
1896-04-01,   -0.619
1896-05-01,   -0.533
1896-06-01,   -0.378
1896-07-01,   -0.368
1896-08-01,   -0.316
1896-09-01,   -0.376
1896-10-01,   -0.201
1896-11-01,   -0.332
1896-12-01,   -0.362
1897-01-01,   -0.412
1897-02-01,   -0.537
1897-03-01,   -0.492
1897-04-01,   -0.277
1897-05-01,   -0.370
1897-06-01,   -0.402
1897-07-01,   -0.328
1897-08-01,   -0.327
1897-09-01,   -0.393
1897-10-01,   -0.450
1897-11-01,   -0.413
1897-12-01,   -0.390
1898-01-01,   -0.541
1898-02-01,   -0.644
1898-03-01,   -0.809
1898-04-01,   -0.643
1898-05-01,   -0.531
1898-06-01,   -0.451
1898-07-01,   -0.424
1898-08-01,   -0.442
1898-09-01,   -0.449
1898-10-01,   -0.583
1898-11-01,   -0.668
1898-12-01,   -0.581
1899-01-01,   -0.623
1899-02-01,   -0.683
1899-03-01,   -0.590
1899-04-01,   -0.543
1899-05-01,   -0.558
1899-06-01,   -0.543
1899-07-01,   -0.410
1899-08-01,   -0.331
1899-09-01,   -0.258
1899-10-01,   -0.417
1899-11-01,   -0.282
1899-12-01,   -0.343
1900-01-01,   -0.588
1900-02-01,   -0.314
1900-03-01,   -0.319
1900-04-01,   -0.456
1900-05-01,   -0.382
1900-06-01,   -0.340
1900-07-01,   -0.392
1900-08-01,   -0.375
1900-09-01,   -0.393
1900-10-01,   -0.214
1900-11-01,   -0.293
1900-12-01,   -0.331
1901-01-01,   -0.518
1901-02-01,   -0.449
1901-03-01,   -0.241
1901-04-01,   -0.274
1901-05-01,   -0.442
1901-06-01,   -0.405
1901-07-01,   -0.421
1901-08-01,   -0.409
1901-09-01,   -0.456
1901-10-01,   -0.531
1901-11-01,   -0.443
1901-12-01,   -0.422
1902-01-01,   -0.494
1902-02-01,   -0.404
1902-03-01,   -0.621
1902-04-01,   -0.592
1902-05-01,   -0.543
1902-06-01,   -0.484
1902-07-01,   -0.477
1902-08-01,   -0.504
1902-09-01,   -0.530
1902-10-01,   -0.510
1902-11-01,   -0.537
1902-12-01,   -0.664
1903-01-01,   -0.532
1903-02-01,   -0.557
1903-03-01,   -0.560
1903-04-01,   -0.739
1903-05-01,   -0.636
1903-06-01,   -0.603
1903-07-01,   -0.672
1903-08-01,   -0.710
1903-09-01,   -0.750
1903-10-01,   -0.756
1903-11-01,   -0.644
1903-12-01,   -0.858
1904-01-01,   -0.919
1904-02-01,   -0.866
1904-03-01,   -0.745
1904-04-01,   -0.841
1904-05-01,   -0.805
1904-06-01,   -0.741
1904-07-01,   -0.740
1904-08-01,   -0.736
1904-09-01,   -0.759
1904-10-01,   -0.629
1904-11-01,   -0.472
1904-12-01,   -0.593
1905-01-01,   -0.626
1905-02-01,   -0.833
1905-03-01,   -0.555
1905-04-01,   -0.628
1905-05-01,   -0.523
1905-06-01,   -0.468
1905-07-01,   -0.466
1905-08-01,   -0.547
1905-09-01,   -0.573
1905-10-01,   -0.569
1905-11-01,   -0.430
1905-12-01,   -0.534
1906-01-01,   -0.631
1906-02-01,   -0.551
1906-03-01,   -0.528
1906-04-01,   -0.336
1906-05-01,   -0.482
1906-06-01,   -0.413
1906-07-01,   -0.438
1906-08-01,   -0.494
1906-09-01,   -0.523
1906-10-01,   -0.393
1906-11-01,   -0.501
1906-12-01,   -0.388
1907-01-01,   -0.625
1907-02-01,   -0.821
1907-03-01,   -0.603
1907-04-01,   -0.710
1907-05-01,   -0.764
1907-06-01,   -0.663
1907-07-01,   -0.601
1907-08-01,   -0.562
1907-09-01,   -0.622
1907-10-01,   -0.477
1907-11-01,   -0.654
